,model,unbalance_category,unbalance_method,balance_data_time,TP,FP,FN,TN,ACC,PRE,RECALL,F1,AUC,MCC,G_measure
0,SVC,None,None,None,1061,54,0,0,0.952,0.952,1.0,0.975,0.5,0.0,0.975
1,SVC,over_sampler,SMOTEN,2179,518,79,543,982,0.707,0.868,0.488,0.625,0.707,0.46,0.651
2,SVC,over_sampler,KMeansSMOTE,0,1061,54,0,0,0.952,0.952,1.0,0.975,0.5,0.0,0.975
3,SVC,over_sampler,RandomOverSampler,1,618,388,443,673,0.608,0.614,0.582,0.598,0.608,0.217,0.598
4,SVC,over_sampler,SMOTE,3,605,354,456,707,0.618,0.631,0.57,0.599,0.618,0.238,0.6
5,SVC,over_sampler,BorderlineSMOTE,6,717,376,344,685,0.661,0.656,0.676,0.666,0.661,0.322,0.666
6,SVC,over_sampler,ADASYN,5,582,343,479,704,0.61,0.629,0.549,0.586,0.61,0.223,0.587
7,SVC,over_sampler,SMOTENC,111,631,388,430,673,0.615,0.619,0.595,0.607,0.615,0.229,0.607
8,SVC,over_sampler,SVMSMOTE,18,1061,526,0,0,0.669,0.669,1.0,0.801,0.5,0.0,0.818
9,SVC,under_sampler,ClusterCentroids,19,1032,475,29,47,0.682,0.685,0.973,0.804,0.531,0.138,0.816
10,SVC,under_sampler,RandomUnderSampler,18,792,273,269,470,0.7,0.744,0.746,0.745,0.69,0.379,0.745
11,SVC,under_sampler,NearMiss,19,798,243,263,402,0.703,0.767,0.752,0.759,0.688,0.373,0.759
12,SVC,under_sampler,TomekLinks,19,799,270,262,386,0.69,0.747,0.753,0.75,0.671,0.342,0.75
13,SVC,under_sampler,EditedNearestNeighbours,18,804,255,257,338,0.69,0.759,0.758,0.758,0.664,0.328,0.758
14,SVC,under_sampler,RepeatedEditedNearestNeighbours,21,801,258,260,448,0.707,0.756,0.755,0.756,0.695,0.389,0.756
15,SVC,under_sampler,AllKNN,18,980,462,81,68,0.659,0.68,0.924,0.783,0.526,0.084,0.792
16,SVC,under_sampler,CondensedNearestNeighbour,18,1061,329,0,0,0.763,0.763,1.0,0.866,0.5,0.0,0.874
17,SVC,under_sampler,OneSidedSelection,18,802,270,259,406,0.695,0.748,0.756,0.752,0.678,0.358,0.752
18,SVC,under_sampler,NeighbourhoodCleaningRule,17,1061,346,0,0,0.754,0.754,1.0,0.86,0.5,0.0,0.868
19,SVC,under_sampler,InstanceHardnessThreshold,21,786,275,275,489,0.699,0.741,0.741,0.741,0.69,0.381,0.741
