,model,unbalance_category,unbalance_method,balance_data_time,TP,FP,FN,TN,ACC,PRE,RECALL,F1,AUC,MCC,G_measure
0,SVC,None,None,None,2235,228,10,128,0.908,0.907,0.996,0.949,0.678,0.545,0.95
1,SVC,over_sampler,SMOTEN,4453,1320,26,925,2219,0.788,0.981,0.588,0.735,0.788,0.629,0.759
2,SVC,over_sampler,KMeansSMOTE,2,2235,228,10,128,0.908,0.907,0.996,0.949,0.678,0.545,0.95
3,SVC,over_sampler,RandomOverSampler,5,1314,55,931,2190,0.78,0.96,0.585,0.727,0.78,0.609,0.75
4,SVC,over_sampler,SMOTE,11,1316,54,929,2191,0.781,0.961,0.586,0.728,0.781,0.61,0.75
5,SVC,over_sampler,BorderlineSMOTE,32,1341,84,904,2161,0.78,0.941,0.597,0.731,0.78,0.601,0.75
6,SVC,over_sampler,ADASYN,34,1257,50,988,2195,0.769,0.962,0.56,0.708,0.769,0.592,0.734
7,SVC,over_sampler,SMOTENC,255,1316,59,929,2186,0.78,0.957,0.586,0.727,0.78,0.607,0.749
8,SVC,over_sampler,SVMSMOTE,201,1319,37,926,2208,0.786,0.973,0.588,0.733,0.786,0.622,0.756
9,SVC,under_sampler,ClusterCentroids,228,1316,48,929,2197,0.782,0.965,0.586,0.729,0.782,0.614,0.752
10,SVC,under_sampler,RandomUnderSampler,190,1330,58,915,2187,0.783,0.958,0.592,0.732,0.783,0.613,0.753
11,SVC,under_sampler,NearMiss,284,1315,56,930,2189,0.78,0.959,0.586,0.727,0.78,0.609,0.75
12,SVC,under_sampler,TomekLinks,231,1316,41,929,2204,0.784,0.97,0.586,0.731,0.784,0.618,0.754
13,SVC,under_sampler,EditedNearestNeighbours,245,1323,61,922,2184,0.781,0.956,0.589,0.729,0.781,0.609,0.751
14,SVC,under_sampler,RepeatedEditedNearestNeighbours,196,1321,55,924,2190,0.782,0.96,0.588,0.73,0.782,0.612,0.752
15,SVC,under_sampler,AllKNN,348,1316,36,929,2209,0.785,0.973,0.586,0.732,0.785,0.621,0.755
16,SVC,under_sampler,CondensedNearestNeighbour,219,1321,48,924,2197,0.784,0.965,0.588,0.731,0.784,0.616,0.754
17,SVC,under_sampler,OneSidedSelection,189,1322,47,923,2198,0.784,0.966,0.589,0.732,0.784,0.617,0.754
18,SVC,under_sampler,NeighbourhoodCleaningRule,200,1318,29,927,2216,0.787,0.978,0.587,0.734,0.787,0.626,0.758
19,SVC,under_sampler,InstanceHardnessThreshold,265,1320,38,925,2207,0.786,0.972,0.588,0.733,0.786,0.622,0.756
20,SVC,combine_sampler,SMOTEENN,261,1315,40,930,2205,0.784,0.97,0.586,0.731,0.784,0.619,0.754
21,SVC,combine_sampler,SMOTETomek,188,1316,38,929,2207,0.785,0.972,0.586,0.731,0.785,0.62,0.755
22,RandomForestClassifier,None,None,None,2224,25,21,331,0.982,0.989,0.991,0.99,0.96,0.925,0.99
23,RandomForestClassifier,over_sampler,SMOTEN,4471,2225,26,20,2219,0.99,0.988,0.991,0.99,0.99,0.98,0.99
24,RandomForestClassifier,over_sampler,KMeansSMOTE,2,2225,31,20,325,0.98,0.986,0.991,0.989,0.952,0.916,0.989
25,RandomForestClassifier,over_sampler,RandomOverSampler,3,2220,0,25,2245,0.994,1.0,0.989,0.994,0.994,0.989,0.994
26,RandomForestClassifier,over_sampler,SMOTE,14,2225,19,20,2226,0.991,0.992,0.991,0.991,0.991,0.983,0.991
27,RandomForestClassifier,over_sampler,BorderlineSMOTE,42,2223,15,22,2230,0.992,0.993,0.99,0.992,0.992,0.984,0.992
28,RandomForestClassifier,over_sampler,ADASYN,32,2224,15,21,2230,0.992,0.993,0.991,0.992,0.992,0.984,0.992
29,RandomForestClassifier,over_sampler,SMOTENC,276,2224,16,21,2229,0.992,0.993,0.991,0.992,0.992,0.984,0.992
30,RandomForestClassifier,over_sampler,SVMSMOTE,222,2225,19,20,2226,0.991,0.992,0.991,0.991,0.991,0.983,0.991
31,RandomForestClassifier,under_sampler,ClusterCentroids,252,2224,18,21,2227,0.991,0.992,0.991,0.991,0.991,0.983,0.991
32,RandomForestClassifier,under_sampler,RandomUnderSampler,238,2223,16,22,2229,0.992,0.993,0.99,0.992,0.992,0.983,0.992
33,RandomForestClassifier,under_sampler,NearMiss,197,2222,18,23,2227,0.991,0.992,0.99,0.991,0.991,0.982,0.991
34,RandomForestClassifier,under_sampler,TomekLinks,194,2220,15,25,2230,0.991,0.993,0.989,0.991,0.991,0.982,0.991
35,RandomForestClassifier,under_sampler,EditedNearestNeighbours,190,2223,16,22,2229,0.992,0.993,0.99,0.992,0.992,0.983,0.992
36,RandomForestClassifier,under_sampler,RepeatedEditedNearestNeighbours,233,2224,16,21,2229,0.992,0.993,0.991,0.992,0.992,0.984,0.992
37,RandomForestClassifier,under_sampler,AllKNN,200,2224,19,21,2226,0.991,0.992,0.991,0.991,0.991,0.982,0.991
38,RandomForestClassifier,under_sampler,CondensedNearestNeighbour,393,2224,14,21,2231,0.992,0.994,0.991,0.992,0.992,0.984,0.992
39,RandomForestClassifier,under_sampler,OneSidedSelection,204,2223,15,22,2230,0.992,0.993,0.99,0.992,0.992,0.984,0.992
40,RandomForestClassifier,under_sampler,NeighbourhoodCleaningRule,196,2224,16,21,2229,0.992,0.993,0.991,0.992,0.992,0.984,0.992
41,RandomForestClassifier,under_sampler,InstanceHardnessThreshold,218,2223,18,22,2227,0.991,0.992,0.99,0.991,0.991,0.982,0.991
42,RandomForestClassifier,combine_sampler,SMOTEENN,202,2225,15,20,2230,0.992,0.993,0.991,0.992,0.992,0.984,0.992
43,RandomForestClassifier,combine_sampler,SMOTETomek,192,2223,20,22,2225,0.991,0.991,0.99,0.991,0.991,0.981,0.991
44,GaussianNB,None,None,None,1449,36,796,320,0.68,0.976,0.645,0.777,0.772,0.378,0.794
45,GaussianNB,over_sampler,SMOTEN,4488,1475,164,770,2081,0.792,0.9,0.657,0.76,0.792,0.606,0.769
46,GaussianNB,over_sampler,KMeansSMOTE,1,1449,36,796,320,0.68,0.976,0.645,0.777,0.772,0.378,0.794
47,GaussianNB,over_sampler,RandomOverSampler,2,1373,143,872,2102,0.774,0.906,0.612,0.73,0.774,0.579,0.744
48,GaussianNB,over_sampler,SMOTE,9,1352,165,893,2080,0.764,0.891,0.602,0.719,0.764,0.559,0.733
49,GaussianNB,over_sampler,BorderlineSMOTE,32,1309,268,936,1977,0.732,0.83,0.583,0.685,0.732,0.486,0.696
50,GaussianNB,over_sampler,ADASYN,31,1307,239,938,2006,0.738,0.845,0.582,0.69,0.738,0.501,0.702
51,GaussianNB,over_sampler,SMOTENC,251,1369,164,876,2081,0.768,0.893,0.61,0.725,0.768,0.566,0.738
52,GaussianNB,over_sampler,SVMSMOTE,198,1453,260,792,1985,0.766,0.848,0.647,0.734,0.766,0.547,0.741
53,GaussianNB,under_sampler,ClusterCentroids,197,1390,309,855,1936,0.741,0.818,0.619,0.705,0.741,0.496,0.712
54,GaussianNB,under_sampler,RandomUnderSampler,195,1441,322,804,1923,0.749,0.817,0.642,0.719,0.749,0.51,0.724
55,GaussianNB,under_sampler,NearMiss,190,1422,344,823,1901,0.74,0.805,0.633,0.709,0.74,0.491,0.714
56,GaussianNB,under_sampler,TomekLinks,186,1434,332,811,1913,0.745,0.812,0.639,0.715,0.745,0.502,0.72
57,GaussianNB,under_sampler,EditedNearestNeighbours,189,1451,276,794,1969,0.762,0.84,0.646,0.731,0.762,0.538,0.737
58,GaussianNB,under_sampler,RepeatedEditedNearestNeighbours,189,1401,293,844,1952,0.747,0.827,0.624,0.711,0.747,0.509,0.718
59,GaussianNB,under_sampler,AllKNN,189,1437,307,808,1938,0.752,0.824,0.64,0.72,0.752,0.516,0.726
60,GaussianNB,under_sampler,CondensedNearestNeighbour,196,1428,323,817,1922,0.746,0.816,0.636,0.715,0.746,0.505,0.72
61,GaussianNB,under_sampler,OneSidedSelection,186,1378,315,867,1930,0.737,0.814,0.614,0.7,0.737,0.488,0.707
62,GaussianNB,under_sampler,NeighbourhoodCleaningRule,192,1450,239,795,2006,0.77,0.858,0.646,0.737,0.77,0.557,0.745
63,GaussianNB,under_sampler,InstanceHardnessThreshold,189,1383,329,862,1916,0.735,0.808,0.616,0.699,0.735,0.483,0.705
64,GaussianNB,combine_sampler,SMOTEENN,190,1455,217,790,2028,0.776,0.87,0.648,0.743,0.776,0.57,0.751
65,GaussianNB,combine_sampler,SMOTETomek,185,1430,322,815,1923,0.747,0.816,0.637,0.716,0.747,0.506,0.721
66,KNeighborsClassifier,None,None,None,2188,171,57,185,0.912,0.928,0.975,0.95,0.747,0.585,0.951
67,KNeighborsClassifier,over_sampler,SMOTEN,4618,2094,118,151,2127,0.94,0.947,0.933,0.94,0.94,0.88,0.94
68,KNeighborsClassifier,over_sampler,KMeansSMOTE,1,2188,171,57,185,0.912,0.928,0.975,0.95,0.747,0.585,0.951
69,KNeighborsClassifier,over_sampler,RandomOverSampler,4,1940,34,305,2211,0.924,0.983,0.864,0.92,0.924,0.855,0.922
70,KNeighborsClassifier,over_sampler,SMOTE,10,1941,98,304,2147,0.91,0.952,0.865,0.906,0.91,0.824,0.907
71,KNeighborsClassifier,over_sampler,BorderlineSMOTE,34,1939,70,306,2175,0.916,0.965,0.864,0.912,0.916,0.837,0.913
72,KNeighborsClassifier,over_sampler,ADASYN,34,1897,174,348,2071,0.884,0.916,0.845,0.879,0.884,0.77,0.88
73,KNeighborsClassifier,over_sampler,SMOTENC,267,1982,125,263,2120,0.914,0.941,0.883,0.911,0.914,0.829,0.911
74,KNeighborsClassifier,over_sampler,SVMSMOTE,190,1989,120,256,2125,0.916,0.943,0.886,0.914,0.916,0.834,0.914
75,KNeighborsClassifier,under_sampler,ClusterCentroids,229,1983,96,262,2149,0.92,0.954,0.883,0.917,0.92,0.843,0.918
76,KNeighborsClassifier,under_sampler,RandomUnderSampler,198,2002,108,243,2137,0.922,0.949,0.892,0.919,0.922,0.845,0.92
77,KNeighborsClassifier,under_sampler,NearMiss,190,2013,120,232,2125,0.922,0.944,0.897,0.92,0.922,0.844,0.92
78,KNeighborsClassifier,under_sampler,TomekLinks,191,1986,92,259,2153,0.922,0.956,0.885,0.919,0.922,0.846,0.919
79,KNeighborsClassifier,under_sampler,EditedNearestNeighbours,193,1992,91,253,2154,0.923,0.956,0.887,0.921,0.923,0.849,0.921
80,KNeighborsClassifier,under_sampler,RepeatedEditedNearestNeighbours,191,1982,99,263,2146,0.919,0.952,0.883,0.916,0.919,0.841,0.917
81,KNeighborsClassifier,under_sampler,AllKNN,195,1981,98,264,2147,0.919,0.953,0.882,0.916,0.919,0.841,0.917
82,KNeighborsClassifier,under_sampler,CondensedNearestNeighbour,192,1971,99,274,2146,0.917,0.952,0.878,0.914,0.917,0.836,0.914
83,KNeighborsClassifier,under_sampler,OneSidedSelection,191,2007,118,238,2127,0.921,0.944,0.894,0.919,0.921,0.843,0.919
84,KNeighborsClassifier,under_sampler,NeighbourhoodCleaningRule,200,1996,98,249,2147,0.923,0.953,0.889,0.92,0.923,0.847,0.921
85,KNeighborsClassifier,under_sampler,InstanceHardnessThreshold,205,1990,102,255,2143,0.92,0.951,0.886,0.918,0.92,0.843,0.918
86,KNeighborsClassifier,combine_sampler,SMOTEENN,193,1993,97,252,2148,0.922,0.954,0.888,0.919,0.922,0.847,0.92
87,KNeighborsClassifier,combine_sampler,SMOTETomek,189,1995,107,250,2138,0.92,0.949,0.889,0.918,0.92,0.843,0.918
88,DecisionTreeClassifier,None,None,None,2218,32,27,324,0.977,0.986,0.988,0.987,0.949,0.903,0.987
89,DecisionTreeClassifier,over_sampler,SMOTEN,4354,2218,46,27,2199,0.984,0.98,0.988,0.984,0.984,0.968,0.984
90,DecisionTreeClassifier,over_sampler,KMeansSMOTE,1,2219,28,26,328,0.979,0.988,0.988,0.988,0.955,0.912,0.988
91,DecisionTreeClassifier,over_sampler,RandomOverSampler,3,2220,0,25,2245,0.994,1.0,0.989,0.994,0.994,0.989,0.994
92,DecisionTreeClassifier,over_sampler,SMOTE,9,2220,22,25,2223,0.99,0.99,0.989,0.99,0.99,0.979,0.99
93,DecisionTreeClassifier,over_sampler,BorderlineSMOTE,31,2224,32,21,2213,0.988,0.986,0.991,0.988,0.988,0.976,0.988
94,DecisionTreeClassifier,over_sampler,ADASYN,32,2220,23,25,2222,0.989,0.99,0.989,0.989,0.989,0.979,0.989
95,DecisionTreeClassifier,over_sampler,SMOTENC,254,2221,22,24,2223,0.99,0.99,0.989,0.99,0.99,0.98,0.99
96,DecisionTreeClassifier,over_sampler,SVMSMOTE,187,2215,34,30,2211,0.986,0.985,0.987,0.986,0.986,0.971,0.986
97,DecisionTreeClassifier,under_sampler,ClusterCentroids,185,2222,31,23,2214,0.988,0.986,0.99,0.988,0.988,0.976,0.988
98,DecisionTreeClassifier,under_sampler,RandomUnderSampler,204,2218,30,27,2215,0.987,0.987,0.988,0.987,0.987,0.975,0.987
99,DecisionTreeClassifier,under_sampler,NearMiss,193,2217,27,28,2218,0.988,0.988,0.988,0.988,0.988,0.976,0.988
100,DecisionTreeClassifier,under_sampler,TomekLinks,186,2215,29,30,2216,0.987,0.987,0.987,0.987,0.987,0.974,0.987
101,DecisionTreeClassifier,under_sampler,EditedNearestNeighbours,189,2217,33,28,2212,0.986,0.985,0.988,0.986,0.986,0.973,0.986
102,DecisionTreeClassifier,under_sampler,RepeatedEditedNearestNeighbours,185,2219,26,26,2219,0.988,0.988,0.988,0.988,0.988,0.977,0.988
103,DecisionTreeClassifier,under_sampler,AllKNN,187,2222,26,23,2219,0.989,0.988,0.99,0.989,0.989,0.978,0.989
104,DecisionTreeClassifier,under_sampler,CondensedNearestNeighbour,189,2218,25,27,2220,0.988,0.989,0.988,0.988,0.988,0.977,0.988
105,DecisionTreeClassifier,under_sampler,OneSidedSelection,186,2217,31,28,2214,0.987,0.986,0.988,0.987,0.987,0.974,0.987
106,DecisionTreeClassifier,under_sampler,NeighbourhoodCleaningRule,197,2220,29,25,2216,0.988,0.987,0.989,0.988,0.988,0.976,0.988
107,DecisionTreeClassifier,under_sampler,InstanceHardnessThreshold,186,2220,27,25,2218,0.988,0.988,0.989,0.988,0.988,0.977,0.988
108,DecisionTreeClassifier,combine_sampler,SMOTEENN,197,2218,29,27,2216,0.988,0.987,0.988,0.988,0.988,0.975,0.988
109,DecisionTreeClassifier,combine_sampler,SMOTETomek,185,2218,28,27,2217,0.988,0.988,0.988,0.988,0.988,0.976,0.988
110,LogisticRegression,None,None,None,2225,196,20,160,0.917,0.919,0.991,0.954,0.72,0.597,0.954
111,LogisticRegression,over_sampler,SMOTEN,4340,2051,85,194,2160,0.938,0.96,0.914,0.936,0.938,0.877,0.937
112,LogisticRegression,over_sampler,KMeansSMOTE,1,2225,196,20,160,0.917,0.919,0.991,0.954,0.72,0.597,0.954
113,LogisticRegression,over_sampler,RandomOverSampler,2,1980,103,265,2142,0.918,0.951,0.882,0.915,0.918,0.838,0.916
114,LogisticRegression,over_sampler,SMOTE,10,2004,73,241,2172,0.93,0.965,0.893,0.927,0.93,0.863,0.928
115,LogisticRegression,over_sampler,BorderlineSMOTE,34,1884,27,361,2218,0.914,0.986,0.839,0.907,0.914,0.836,0.91
116,LogisticRegression,over_sampler,ADASYN,32,1664,80,581,2165,0.853,0.954,0.741,0.834,0.853,0.724,0.841
117,LogisticRegression,over_sampler,SMOTENC,255,1973,96,272,2149,0.918,0.954,0.879,0.915,0.918,0.839,0.915
118,LogisticRegression,over_sampler,SVMSMOTE,219,2002,111,243,2134,0.921,0.947,0.892,0.919,0.921,0.844,0.919
119,LogisticRegression,under_sampler,ClusterCentroids,248,1843,222,402,2023,0.861,0.892,0.821,0.855,0.861,0.724,0.856
120,LogisticRegression,under_sampler,RandomUnderSampler,225,1898,168,347,2077,0.885,0.919,0.845,0.881,0.885,0.773,0.881
121,LogisticRegression,under_sampler,NearMiss,194,1891,81,354,2164,0.903,0.959,0.842,0.897,0.903,0.812,0.899
