,model,unbalance_category,unbalance_method,balance_data_time,TP,FP,FN,TN,ACC,PRE,RECALL,F1,AUC,MCC,G_measure
0,SVC,None,None,None,744,42,0,0,0.947,0.947,1.0,0.973,0.5,0.0,0.973
1,SVC,over_sampler,SMOTEN,1639,504,208,240,536,0.699,0.708,0.677,0.692,0.699,0.398,0.692
2,SVC,over_sampler,KMeansSMOTE,0,744,42,0,0,0.947,0.947,1.0,0.973,0.5,0.0,0.973
3,SVC,over_sampler,RandomOverSampler,1,342,204,402,540,0.593,0.626,0.46,0.53,0.593,0.192,0.537
4,SVC,over_sampler,SMOTE,3,350,203,394,541,0.599,0.633,0.47,0.54,0.599,0.204,0.546
5,SVC,over_sampler,BorderlineSMOTE,3,342,199,402,545,0.596,0.632,0.46,0.532,0.596,0.2,0.539
6,SVC,over_sampler,ADASYN,3,386,381,358,360,0.502,0.503,0.519,0.511,0.502,0.005,0.511
7,SVC,over_sampler,SMOTENC,44,342,170,402,574,0.616,0.668,0.46,0.545,0.616,0.243,0.554
8,SVC,over_sampler,SVMSMOTE,13,742,404,2,75,0.668,0.647,0.997,0.785,0.577,0.309,0.804
9,SVC,under_sampler,ClusterCentroids,12,744,401,0,0,0.65,0.65,1.0,0.788,0.5,0.0,0.806
10,SVC,under_sampler,RandomUnderSampler,14,744,346,0,0,0.683,0.683,1.0,0.811,0.5,0.0,0.826
11,SVC,under_sampler,NearMiss,14,744,287,0,0,0.722,0.722,1.0,0.838,0.5,0.0,0.849
12,SVC,under_sampler,TomekLinks,16,744,291,0,0,0.719,0.719,1.0,0.836,0.5,0.0,0.848
13,SVC,under_sampler,EditedNearestNeighbours,15,744,436,0,0,0.631,0.631,1.0,0.773,0.5,0.0,0.794
14,SVC,under_sampler,RepeatedEditedNearestNeighbours,12,744,359,0,0,0.675,0.675,1.0,0.806,0.5,0.0,0.821
15,SVC,under_sampler,AllKNN,13,744,388,0,0,0.657,0.657,1.0,0.793,0.5,0.0,0.811
16,SVC,under_sampler,CondensedNearestNeighbour,13,742,397,2,76,0.672,0.651,0.997,0.788,0.579,0.314,0.806
17,SVC,under_sampler,OneSidedSelection,14,744,393,0,0,0.654,0.654,1.0,0.791,0.5,0.0,0.809
18,SVC,under_sampler,NeighbourhoodCleaningRule,13,744,387,0,0,0.658,0.658,1.0,0.794,0.5,0.0,0.811
19,SVC,under_sampler,InstanceHardnessThreshold,17,742,481,2,86,0.632,0.607,0.997,0.754,0.574,0.295,0.778
20,SVC,combine_sampler,SMOTEENN,13,744,460,0,0,0.618,0.618,1.0,0.764,0.5,0.0,0.786
21,SVC,combine_sampler,SMOTETomek,13,744,353,0,0,0.678,0.678,1.0,0.808,0.5,0.0,0.824
22,RandomForestClassifier,None,None,None,742,4,2,38,0.992,0.995,0.997,0.996,0.951,0.923,0.996
23,RandomForestClassifier,over_sampler,SMOTEN,1609,740,14,4,730,0.988,0.981,0.995,0.988,0.988,0.976,0.988
24,RandomForestClassifier,over_sampler,KMeansSMOTE,1,741,4,3,38,0.991,0.995,0.996,0.995,0.95,0.911,0.995
25,RandomForestClassifier,over_sampler,RandomOverSampler,0,740,0,4,744,0.997,1.0,0.995,0.997,0.997,0.995,0.997
26,RandomForestClassifier,over_sampler,SMOTE,2,741,1,3,743,0.997,0.999,0.996,0.997,0.997,0.995,0.997
27,RandomForestClassifier,over_sampler,BorderlineSMOTE,3,741,2,3,742,0.997,0.997,0.996,0.997,0.997,0.993,0.997
28,RandomForestClassifier,over_sampler,ADASYN,2,741,8,3,733,0.993,0.989,0.996,0.993,0.993,0.985,0.993
29,RandomForestClassifier,over_sampler,SMOTENC,49,741,2,3,742,0.997,0.997,0.996,0.997,0.997,0.993,0.997
30,RandomForestClassifier,over_sampler,SVMSMOTE,12,742,1,2,318,0.997,0.999,0.997,0.998,0.997,0.993,0.998
31,RandomForestClassifier,under_sampler,ClusterCentroids,13,742,2,2,458,0.997,0.997,0.997,0.997,0.996,0.993,0.997
32,RandomForestClassifier,under_sampler,RandomUnderSampler,15,741,1,3,314,0.996,0.999,0.996,0.997,0.996,0.991,0.997
33,RandomForestClassifier,under_sampler,NearMiss,13,741,4,3,341,0.994,0.995,0.996,0.995,0.992,0.985,0.995
34,RandomForestClassifier,under_sampler,TomekLinks,15,741,1,3,461,0.997,0.999,0.996,0.997,0.997,0.993,0.997
35,RandomForestClassifier,under_sampler,EditedNearestNeighbours,14,742,1,2,267,0.997,0.999,0.997,0.998,0.997,0.992,0.998
36,RandomForestClassifier,under_sampler,RepeatedEditedNearestNeighbours,14,742,1,2,461,0.998,0.999,0.997,0.998,0.998,0.995,0.998
37,RandomForestClassifier,under_sampler,AllKNN,14,742,2,2,414,0.997,0.997,0.997,0.997,0.996,0.993,0.997
38,RandomForestClassifier,under_sampler,CondensedNearestNeighbour,14,742,2,2,511,0.997,0.997,0.997,0.997,0.997,0.993,0.997
39,RandomForestClassifier,under_sampler,OneSidedSelection,14,741,4,3,404,0.994,0.995,0.996,0.995,0.993,0.987,0.995
40,RandomForestClassifier,under_sampler,NeighbourhoodCleaningRule,13,742,1,2,403,0.997,0.999,0.997,0.998,0.997,0.994,0.998
41,RandomForestClassifier,under_sampler,InstanceHardnessThreshold,12,741,1,3,484,0.997,0.999,0.996,0.997,0.997,0.993,0.997
42,RandomForestClassifier,combine_sampler,SMOTEENN,13,741,1,3,413,0.997,0.999,0.996,0.997,0.997,0.992,0.997
43,RandomForestClassifier,combine_sampler,SMOTETomek,14,741,3,3,421,0.995,0.996,0.996,0.996,0.994,0.989,0.996
44,GaussianNB,None,None,None,346,6,398,36,0.486,0.983,0.465,0.631,0.661,0.146,0.676
45,GaussianNB,over_sampler,SMOTEN,1628,280,73,464,671,0.639,0.793,0.376,0.51,0.639,0.327,0.546
46,GaussianNB,over_sampler,KMeansSMOTE,1,346,6,398,36,0.486,0.983,0.465,0.631,0.661,0.146,0.676
47,GaussianNB,over_sampler,RandomOverSampler,1,253,98,491,646,0.604,0.721,0.34,0.462,0.604,0.245,0.495
48,GaussianNB,over_sampler,SMOTE,2,253,83,491,661,0.614,0.753,0.34,0.469,0.614,0.273,0.506
49,GaussianNB,over_sampler,BorderlineSMOTE,3,253,84,491,660,0.614,0.751,0.34,0.468,0.614,0.271,0.505
50,GaussianNB,over_sampler,ADASYN,3,238,107,506,634,0.587,0.69,0.32,0.437,0.588,0.208,0.47
51,GaussianNB,over_sampler,SMOTENC,47,253,76,491,668,0.619,0.769,0.34,0.472,0.619,0.287,0.511
52,GaussianNB,over_sampler,SVMSMOTE,13,256,40,488,386,0.549,0.865,0.344,0.492,0.625,0.277,0.546
53,GaussianNB,under_sampler,ClusterCentroids,14,262,43,482,353,0.539,0.859,0.352,0.5,0.622,0.262,0.55
54,GaussianNB,under_sampler,RandomUnderSampler,13,260,52,484,307,0.514,0.833,0.349,0.492,0.602,0.213,0.54
55,GaussianNB,under_sampler,NearMiss,13,255,49,489,339,0.525,0.839,0.343,0.487,0.608,0.232,0.536
56,GaussianNB,under_sampler,TomekLinks,13,269,44,475,309,0.527,0.859,0.362,0.509,0.618,0.245,0.557
57,GaussianNB,under_sampler,EditedNearestNeighbours,14,257,58,487,370,0.535,0.816,0.345,0.485,0.605,0.228,0.531
58,GaussianNB,under_sampler,RepeatedEditedNearestNeighbours,13,253,43,491,375,0.54,0.855,0.34,0.487,0.619,0.261,0.539
59,GaussianNB,under_sampler,AllKNN,13,258,31,486,225,0.483,0.893,0.347,0.5,0.613,0.217,0.556
60,GaussianNB,under_sampler,CondensedNearestNeighbour,15,262,41,482,318,0.526,0.865,0.352,0.5,0.619,0.25,0.552
61,GaussianNB,under_sampler,OneSidedSelection,13,264,33,480,219,0.485,0.889,0.355,0.507,0.612,0.213,0.562
62,GaussianNB,under_sampler,NeighbourhoodCleaningRule,15,259,47,485,342,0.53,0.846,0.348,0.493,0.614,0.243,0.543
63,GaussianNB,under_sampler,InstanceHardnessThreshold,13,258,67,486,522,0.585,0.794,0.347,0.483,0.617,0.27,0.525
64,GaussianNB,combine_sampler,SMOTEENN,13,262,41,482,307,0.521,0.865,0.352,0.5,0.617,0.244,0.552
65,GaussianNB,combine_sampler,SMOTETomek,13,258,38,486,353,0.538,0.872,0.347,0.496,0.625,0.27,0.55
66,KNeighborsClassifier,None,None,None,734,27,10,15,0.953,0.965,0.987,0.975,0.672,0.44,0.975
67,KNeighborsClassifier,over_sampler,SMOTEN,1607,718,16,26,728,0.972,0.978,0.965,0.972,0.972,0.944,0.972
68,KNeighborsClassifier,over_sampler,KMeansSMOTE,0,734,27,10,15,0.953,0.965,0.987,0.975,0.672,0.44,0.975
69,KNeighborsClassifier,over_sampler,RandomOverSampler,0,712,0,32,744,0.978,1.0,0.957,0.978,0.978,0.958,0.978
70,KNeighborsClassifier,over_sampler,SMOTE,3,694,6,50,738,0.962,0.991,0.933,0.961,0.962,0.926,0.962
71,KNeighborsClassifier,over_sampler,BorderlineSMOTE,4,703,4,41,740,0.97,0.994,0.945,0.969,0.97,0.941,0.969
72,KNeighborsClassifier,over_sampler,ADASYN,3,698,6,46,735,0.965,0.991,0.938,0.964,0.965,0.931,0.964
73,KNeighborsClassifier,over_sampler,SMOTENC,48,700,13,44,731,0.962,0.982,0.941,0.961,0.962,0.924,0.961
74,KNeighborsClassifier,over_sampler,SVMSMOTE,15,704,8,40,477,0.961,0.989,0.946,0.967,0.965,0.921,0.967
75,KNeighborsClassifier,under_sampler,ClusterCentroids,13,708,8,36,350,0.96,0.989,0.952,0.97,0.965,0.912,0.97
76,KNeighborsClassifier,under_sampler,RandomUnderSampler,14,700,15,44,423,0.95,0.979,0.941,0.96,0.953,0.896,0.96
77,KNeighborsClassifier,under_sampler,NearMiss,16,703,11,41,549,0.96,0.985,0.945,0.964,0.963,0.92,0.965
78,KNeighborsClassifier,under_sampler,TomekLinks,15,702,14,42,278,0.946,0.98,0.944,0.962,0.948,0.872,0.962
