,model,unbalance_category,unbalance_method,balance_data_time,TP,FP,FN,TN,ACC,PRE,RECALL,F1,AUC,MCC,G_measure
0,SVC,None,None,None,2386,121,0,0,0.952,0.952,1.0,0.975,0.5,0.0,0.976
1,SVC,over_sampler,SMOTEN,4828,1698,345,688,2041,0.784,0.831,0.712,0.767,0.784,0.573,0.769
2,SVC,over_sampler,KMeansSMOTE,2,2386,121,0,0,0.952,0.952,1.0,0.975,0.5,0.0,0.976
3,SVC,over_sampler,RandomOverSampler,3,1750,618,636,1768,0.737,0.739,0.733,0.736,0.737,0.474,0.736
4,SVC,over_sampler,SMOTE,8,1704,408,682,1978,0.772,0.807,0.714,0.758,0.772,0.547,0.759
5,SVC,over_sampler,BorderlineSMOTE,18,1715,275,671,2111,0.802,0.862,0.719,0.784,0.802,0.612,0.787
6,SVC,over_sampler,ADASYN,25,1613,474,773,1916,0.739,0.773,0.676,0.721,0.739,0.482,0.723
7,SVC,over_sampler,SMOTENC,312,1715,446,671,1940,0.766,0.794,0.719,0.754,0.766,0.534,0.755
8,SVC,over_sampler,SVMSMOTE,125,1836,313,550,2073,0.819,0.854,0.769,0.81,0.819,0.641,0.811
9,SVC,under_sampler,ClusterCentroids,145,1726,221,660,2165,0.815,0.886,0.723,0.797,0.815,0.642,0.801
10,SVC,under_sampler,RandomUnderSampler,117,1721,226,665,2160,0.813,0.884,0.721,0.794,0.813,0.637,0.798
11,SVC,under_sampler,NearMiss,122,1729,228,657,2158,0.815,0.883,0.725,0.796,0.815,0.64,0.8
12,SVC,under_sampler,TomekLinks,138,1725,222,661,2164,0.815,0.886,0.723,0.796,0.815,0.641,0.8
13,SVC,under_sampler,EditedNearestNeighbours,126,1760,231,626,2155,0.82,0.884,0.738,0.804,0.82,0.65,0.807
14,SVC,under_sampler,RepeatedEditedNearestNeighbours,121,1712,232,674,2154,0.81,0.881,0.718,0.791,0.81,0.631,0.795
15,SVC,under_sampler,AllKNN,147,1748,235,638,2151,0.817,0.881,0.733,0.8,0.817,0.643,0.804
16,SVC,under_sampler,CondensedNearestNeighbour,148,1741,236,645,2150,0.815,0.881,0.73,0.798,0.815,0.64,0.802
