,model,unbalance_category,unbalance_method,balance_data_time,TP,FP,FN,TN,ACC,PRE,RECALL,F1,AUC,MCC,G_measure
0,SVC,None,None,None,468,145,0,0,0.763,0.763,1.0,0.866,0.5,0.0,0.874
1,SVC,over_sampler,SMOTEN,782,232,134,236,334,0.605,0.634,0.496,0.556,0.605,0.215,0.561
2,SVC,over_sampler,KMeansSMOTE,0,468,145,0,0,0.763,0.763,1.0,0.866,0.5,0.0,0.874
3,SVC,over_sampler,RandomOverSampler,1,378,309,90,159,0.574,0.55,0.808,0.655,0.574,0.167,0.667
4,SVC,over_sampler,SMOTE,1,298,194,170,274,0.611,0.606,0.637,0.621,0.611,0.223,0.621
5,SVC,over_sampler,BorderlineSMOTE,5,283,198,185,270,0.591,0.588,0.605,0.596,0.591,0.182,0.596
6,SVC,over_sampler,ADASYN,5,250,191,218,283,0.566,0.567,0.534,0.55,0.566,0.131,0.55
7,SVC,over_sampler,SMOTENC,65,288,224,180,244,0.568,0.562,0.615,0.588,0.568,0.137,0.588
8,SVC,over_sampler,SVMSMOTE,30,406,283,62,185,0.631,0.589,0.868,0.702,0.631,0.298,0.715
9,SVC,under_sampler,ClusterCentroids,32,404,266,64,202,0.647,0.603,0.863,0.71,0.647,0.327,0.721
10,SVC,under_sampler,RandomUnderSampler,29,385,291,83,177,0.6,0.57,0.823,0.673,0.6,0.224,0.684
11,SVC,under_sampler,NearMiss,29,401,244,67,224,0.668,0.622,0.857,0.721,0.668,0.362,0.73
12,SVC,under_sampler,TomekLinks,32,403,258,65,210,0.655,0.61,0.861,0.714,0.655,0.34,0.725
13,SVC,under_sampler,EditedNearestNeighbours,32,398,281,70,187,0.625,0.586,0.85,0.694,0.625,0.28,0.706
14,SVC,under_sampler,RepeatedEditedNearestNeighbours,28,401,249,67,219,0.662,0.617,0.857,0.717,0.662,0.353,0.727
15,SVC,under_sampler,AllKNN,35,401,251,67,217,0.66,0.615,0.857,0.716,0.66,0.349,0.726
16,SVC,under_sampler,CondensedNearestNeighbour,28,401,266,67,202,0.644,0.601,0.857,0.707,0.644,0.319,0.718
17,SVC,under_sampler,OneSidedSelection,29,401,262,67,206,0.649,0.605,0.857,0.709,0.649,0.327,0.72
18,SVC,under_sampler,NeighbourhoodCleaningRule,31,406,260,62,208,0.656,0.61,0.868,0.716,0.656,0.344,0.727
19,SVC,under_sampler,InstanceHardnessThreshold,33,407,282,61,186,0.634,0.591,0.87,0.704,0.634,0.303,0.717
20,SVC,combine_sampler,SMOTEENN,31,415,300,53,168,0.623,0.58,0.887,0.702,0.623,0.289,0.717
21,SVC,combine_sampler,SMOTETomek,29,403,250,65,218,0.663,0.617,0.861,0.719,0.663,0.356,0.729
22,RandomForestClassifier,None,None,None,460,21,8,124,0.953,0.956,0.983,0.969,0.919,0.866,0.97
23,RandomForestClassifier,over_sampler,SMOTEN,764,460,15,8,453,0.975,0.968,0.983,0.976,0.975,0.951,0.976
24,RandomForestClassifier,over_sampler,KMeansSMOTE,0,462,19,6,126,0.959,0.96,0.987,0.974,0.928,0.885,0.974
25,RandomForestClassifier,over_sampler,RandomOverSampler,1,458,1,10,467,0.988,0.998,0.979,0.988,0.988,0.977,0.988
26,RandomForestClassifier,over_sampler,SMOTE,1,463,15,5,453,0.979,0.969,0.989,0.979,0.979,0.957,0.979
27,RandomForestClassifier,over_sampler,BorderlineSMOTE,5,463,18,5,450,0.975,0.963,0.989,0.976,0.975,0.951,0.976
28,RandomForestClassifier,over_sampler,ADASYN,3,463,18,5,456,0.976,0.963,0.989,0.976,0.976,0.952,0.976
29,RandomForestClassifier,over_sampler,SMOTENC,38,461,15,7,453,0.976,0.968,0.985,0.977,0.976,0.953,0.977
30,RandomForestClassifier,over_sampler,SVMSMOTE,28,461,16,7,452,0.975,0.966,0.985,0.976,0.975,0.951,0.976
31,RandomForestClassifier,under_sampler,ClusterCentroids,30,461,13,7,455,0.979,0.973,0.985,0.979,0.979,0.957,0.979
32,RandomForestClassifier,under_sampler,RandomUnderSampler,29,461,15,7,453,0.976,0.968,0.985,0.977,0.976,0.953,0.977
33,RandomForestClassifier,under_sampler,NearMiss,29,462,14,6,454,0.979,0.971,0.987,0.979,0.979,0.957,0.979
34,RandomForestClassifier,under_sampler,TomekLinks,29,461,14,7,454,0.978,0.971,0.985,0.978,0.978,0.955,0.978
35,RandomForestClassifier,under_sampler,EditedNearestNeighbours,28,460,15,8,453,0.975,0.968,0.983,0.976,0.975,0.951,0.976
36,RandomForestClassifier,under_sampler,RepeatedEditedNearestNeighbours,32,463,14,5,454,0.98,0.971,0.989,0.98,0.98,0.96,0.98
37,RandomForestClassifier,under_sampler,AllKNN,30,462,10,6,458,0.983,0.979,0.987,0.983,0.983,0.966,0.983
38,RandomForestClassifier,under_sampler,CondensedNearestNeighbour,35,460,20,8,448,0.97,0.958,0.983,0.97,0.97,0.94,0.971
39,RandomForestClassifier,under_sampler,OneSidedSelection,37,462,18,6,450,0.974,0.963,0.987,0.975,0.974,0.949,0.975
40,RandomForestClassifier,under_sampler,NeighbourhoodCleaningRule,38,461,13,7,455,0.979,0.973,0.985,0.979,0.979,0.957,0.979
41,RandomForestClassifier,under_sampler,InstanceHardnessThreshold,31,462,16,6,452,0.976,0.967,0.987,0.977,0.976,0.953,0.977
42,RandomForestClassifier,combine_sampler,SMOTEENN,52,461,15,7,453,0.976,0.968,0.985,0.977,0.976,0.953,0.977
43,RandomForestClassifier,combine_sampler,SMOTETomek,28,462,16,6,452,0.976,0.967,0.987,0.977,0.976,0.953,0.977
44,GaussianNB,None,None,None,318,9,150,136,0.741,0.972,0.679,0.8,0.809,0.526,0.813
45,GaussianNB,over_sampler,SMOTEN,736,280,10,188,458,0.788,0.966,0.598,0.739,0.788,0.624,0.76
46,GaussianNB,over_sampler,KMeansSMOTE,0,318,9,150,136,0.741,0.972,0.679,0.8,0.809,0.526,0.813
47,GaussianNB,over_sampler,RandomOverSampler,0,293,21,175,447,0.791,0.933,0.626,0.749,0.791,0.615,0.764
48,GaussianNB,over_sampler,SMOTE,1,312,18,156,450,0.814,0.945,0.667,0.782,0.814,0.657,0.794
49,GaussianNB,over_sampler,BorderlineSMOTE,6,325,19,143,449,0.827,0.945,0.694,0.8,0.827,0.678,0.81
50,GaussianNB,over_sampler,ADASYN,5,299,14,169,460,0.806,0.955,0.639,0.766,0.805,0.647,0.781
51,GaussianNB,over_sampler,SMOTENC,38,303,17,165,451,0.806,0.947,0.647,0.769,0.806,0.644,0.783
52,GaussianNB,over_sampler,SVMSMOTE,28,307,31,161,437,0.795,0.908,0.656,0.762,0.795,0.614,0.772
53,GaussianNB,under_sampler,ClusterCentroids,33,314,27,154,441,0.807,0.921,0.671,0.776,0.807,0.637,0.786
54,GaussianNB,under_sampler,RandomUnderSampler,31,304,21,164,447,0.802,0.935,0.65,0.767,0.802,0.635,0.779
55,GaussianNB,under_sampler,NearMiss,31,312,28,156,440,0.803,0.918,0.667,0.772,0.803,0.631,0.782
56,GaussianNB,under_sampler,TomekLinks,31,309,26,159,442,0.802,0.922,0.66,0.77,0.802,0.631,0.78
57,GaussianNB,under_sampler,EditedNearestNeighbours,31,312,33,156,435,0.798,0.904,0.667,0.768,0.798,0.618,0.776
58,GaussianNB,under_sampler,RepeatedEditedNearestNeighbours,28,305,25,163,443,0.799,0.924,0.652,0.764,0.799,0.626,0.776
59,GaussianNB,under_sampler,AllKNN,30,307,29,161,439,0.797,0.914,0.656,0.764,0.797,0.619,0.774
60,GaussianNB,under_sampler,CondensedNearestNeighbour,36,317,35,151,433,0.801,0.901,0.677,0.773,0.801,0.622,0.781
61,GaussianNB,under_sampler,OneSidedSelection,31,307,25,161,443,0.801,0.925,0.656,0.767,0.801,0.63,0.779
62,GaussianNB,under_sampler,NeighbourhoodCleaningRule,29,302,23,166,445,0.798,0.929,0.645,0.762,0.798,0.626,0.774
63,GaussianNB,under_sampler,InstanceHardnessThreshold,30,300,24,168,444,0.795,0.926,0.641,0.758,0.795,0.62,0.77
64,GaussianNB,combine_sampler,SMOTEENN,31,319,31,149,437,0.808,0.911,0.682,0.78,0.808,0.636,0.788
65,GaussianNB,combine_sampler,SMOTETomek,31,310,20,158,448,0.81,0.939,0.662,0.777,0.81,0.648,0.789
66,KNeighborsClassifier,None,None,None,417,102,51,43,0.75,0.803,0.891,0.845,0.594,0.221,0.846
67,KNeighborsClassifier,over_sampler,SMOTEN,727,384,61,84,407,0.845,0.863,0.821,0.841,0.845,0.691,0.841
68,KNeighborsClassifier,over_sampler,KMeansSMOTE,0,417,102,51,43,0.75,0.803,0.891,0.845,0.594,0.221,0.846
69,KNeighborsClassifier,over_sampler,RandomOverSampler,1,332,31,136,437,0.822,0.915,0.709,0.799,0.822,0.66,0.805
70,KNeighborsClassifier,over_sampler,SMOTE,2,340,44,128,424,0.816,0.885,0.726,0.798,0.816,0.643,0.802
71,KNeighborsClassifier,over_sampler,BorderlineSMOTE,4,335,33,133,435,0.823,0.91,0.716,0.801,0.823,0.661,0.807
72,KNeighborsClassifier,over_sampler,ADASYN,5,317,44,151,430,0.793,0.878,0.677,0.765,0.792,0.601,0.771
73,KNeighborsClassifier,over_sampler,SMOTENC,37,343,59,125,409,0.803,0.853,0.733,0.789,0.803,0.613,0.791
74,KNeighborsClassifier,over_sampler,SVMSMOTE,32,358,41,110,427,0.839,0.897,0.765,0.826,0.839,0.685,0.828
75,KNeighborsClassifier,under_sampler,ClusterCentroids,31,347,35,121,433,0.833,0.908,0.741,0.816,0.833,0.678,0.821
