,model,unbalance_category,unbalance_method,balance_data_time,TP,FP,FN,TN,ACC,PRE,RECALL,F1,AUC,MCC,G_measure
0,SVC,None,None,None,2207,797,50,371,0.753,0.735,0.978,0.839,0.648,0.427,0.848
1,SVC,over_sampler,SMOTEN,9514,1870,1130,387,1127,0.664,0.623,0.829,0.711,0.664,0.347,0.719
2,SVC,over_sampler,KMeansSMOTE,2,2207,797,50,371,0.753,0.735,0.978,0.839,0.648,0.427,0.848
3,SVC,over_sampler,RandomOverSampler,4,2038,1253,219,1004,0.674,0.619,0.903,0.735,0.674,0.391,0.748
4,SVC,over_sampler,SMOTE,36,2101,1328,156,929,0.671,0.613,0.931,0.739,0.671,0.401,0.755
5,SVC,over_sampler,BorderlineSMOTE,114,1696,1174,561,1083,0.616,0.591,0.751,0.662,0.616,0.24,0.666
6,SVC,over_sampler,ADASYN,161,1713,1214,544,1001,0.607,0.585,0.759,0.661,0.605,0.222,0.666
7,SVC,over_sampler,SMOTENC,430,2098,1295,159,962,0.678,0.618,0.93,0.743,0.678,0.412,0.758
8,SVC,over_sampler,SVMSMOTE,854,1757,1121,500,1136,0.641,0.61,0.778,0.684,0.641,0.293,0.689
9,SVC,under_sampler,ClusterCentroids,820,1778,1216,479,1041,0.625,0.594,0.788,0.677,0.625,0.263,0.684
10,SVC,under_sampler,RandomUnderSampler,964,1745,1096,512,1161,0.644,0.614,0.773,0.685,0.644,0.298,0.689
11,SVC,under_sampler,NearMiss,901,1793,1067,464,1190,0.661,0.627,0.794,0.701,0.661,0.334,0.706
12,SVC,under_sampler,TomekLinks,824,1772,1089,485,1168,0.651,0.619,0.785,0.692,0.651,0.314,0.697
13,SVC,under_sampler,EditedNearestNeighbours,906,1776,1114,481,1143,0.647,0.615,0.787,0.69,0.647,0.306,0.695
14,SVC,under_sampler,RepeatedEditedNearestNeighbours,870,1728,1152,529,1105,0.628,0.6,0.766,0.673,0.628,0.266,0.678
15,SVC,under_sampler,AllKNN,1215,1794,1109,463,1148,0.652,0.618,0.795,0.695,0.652,0.317,0.701
16,SVC,under_sampler,CondensedNearestNeighbour,915,1826,1098,431,1159,0.661,0.624,0.809,0.705,0.661,0.338,0.711
17,SVC,under_sampler,OneSidedSelection,891,1768,1164,489,1093,0.634,0.603,0.783,0.681,0.634,0.28,0.687
18,SVC,under_sampler,NeighbourhoodCleaningRule,825,1786,1076,471,1181,0.657,0.624,0.791,0.698,0.657,0.327,0.703
19,SVC,under_sampler,InstanceHardnessThreshold,912,1780,1169,477,1088,0.635,0.604,0.789,0.684,0.635,0.284,0.69
20,SVC,combine_sampler,SMOTEENN,950,1726,1169,531,1088,0.623,0.596,0.765,0.67,0.623,0.257,0.675
21,SVC,combine_sampler,SMOTETomek,1115,1763,1108,494,1149,0.645,0.614,0.781,0.688,0.645,0.302,0.693
22,RandomForestClassifier,None,None,None,2196,57,61,1111,0.966,0.975,0.973,0.974,0.962,0.923,0.974
23,RandomForestClassifier,over_sampler,SMOTEN,8544,2187,55,70,2202,0.972,0.975,0.969,0.972,0.972,0.945,0.972
24,RandomForestClassifier,over_sampler,KMeansSMOTE,2,2189,58,68,1110,0.963,0.974,0.97,0.972,0.96,0.918,0.972
25,RandomForestClassifier,over_sampler,RandomOverSampler,4,2183,19,74,2238,0.979,0.991,0.967,0.979,0.979,0.959,0.979
26,RandomForestClassifier,over_sampler,SMOTE,39,2183,57,74,2200,0.971,0.975,0.967,0.971,0.971,0.942,0.971
27,RandomForestClassifier,over_sampler,BorderlineSMOTE,110,2180,49,77,2208,0.972,0.978,0.966,0.972,0.972,0.944,0.972
28,RandomForestClassifier,over_sampler,ADASYN,130,2184,46,73,2169,0.973,0.979,0.968,0.973,0.973,0.947,0.973
29,RandomForestClassifier,over_sampler,SMOTENC,374,2179,50,78,2207,0.972,0.978,0.965,0.971,0.972,0.943,0.971
30,RandomForestClassifier,over_sampler,SVMSMOTE,905,2183,51,74,2206,0.972,0.977,0.967,0.972,0.972,0.945,0.972
31,RandomForestClassifier,under_sampler,ClusterCentroids,857,2183,49,74,2208,0.973,0.978,0.967,0.973,0.973,0.946,0.973
32,RandomForestClassifier,under_sampler,RandomUnderSampler,863,2189,58,68,2199,0.972,0.974,0.97,0.972,0.972,0.944,0.972
33,RandomForestClassifier,under_sampler,NearMiss,865,2184,54,73,2203,0.972,0.976,0.968,0.972,0.972,0.944,0.972
34,RandomForestClassifier,under_sampler,TomekLinks,852,2180,51,77,2206,0.972,0.977,0.966,0.971,0.972,0.943,0.971
35,RandomForestClassifier,under_sampler,EditedNearestNeighbours,857,2185,56,72,2201,0.972,0.975,0.968,0.972,0.972,0.943,0.972
36,RandomForestClassifier,under_sampler,RepeatedEditedNearestNeighbours,851,2186,54,71,2203,0.972,0.976,0.969,0.972,0.972,0.945,0.972
37,RandomForestClassifier,under_sampler,AllKNN,835,2185,51,72,2206,0.973,0.977,0.968,0.973,0.973,0.946,0.973
38,RandomForestClassifier,under_sampler,CondensedNearestNeighbour,870,2187,56,70,2201,0.972,0.975,0.969,0.972,0.972,0.944,0.972
39,RandomForestClassifier,under_sampler,OneSidedSelection,868,2183,56,74,2201,0.971,0.975,0.967,0.971,0.971,0.942,0.971
40,RandomForestClassifier,under_sampler,NeighbourhoodCleaningRule,867,2184,50,73,2207,0.973,0.978,0.968,0.973,0.973,0.946,0.973
41,RandomForestClassifier,under_sampler,InstanceHardnessThreshold,842,2185,53,72,2204,0.972,0.976,0.968,0.972,0.972,0.945,0.972
42,RandomForestClassifier,combine_sampler,SMOTEENN,1030,2185,53,72,2204,0.972,0.976,0.968,0.972,0.972,0.945,0.972
43,RandomForestClassifier,combine_sampler,SMOTETomek,928,2188,48,69,2209,0.974,0.979,0.969,0.974,0.974,0.948,0.974
44,GaussianNB,None,None,None,2227,786,30,382,0.762,0.739,0.987,0.845,0.657,0.457,0.854
45,GaussianNB,over_sampler,SMOTEN,9423,2217,1507,40,750,0.657,0.595,0.982,0.741,0.657,0.414,0.765
46,GaussianNB,over_sampler,KMeansSMOTE,2,2227,786,30,382,0.762,0.739,0.987,0.845,0.657,0.457,0.854
47,GaussianNB,over_sampler,RandomOverSampler,3,2222,1467,35,790,0.667,0.602,0.984,0.747,0.667,0.433,0.77
48,GaussianNB,over_sampler,SMOTE,52,2217,1496,40,761,0.66,0.597,0.982,0.743,0.66,0.418,0.766
49,GaussianNB,over_sampler,BorderlineSMOTE,146,2225,1841,32,416,0.585,0.547,0.986,0.704,0.585,0.285,0.734
50,GaussianNB,over_sampler,ADASYN,186,2225,1815,32,400,0.587,0.551,0.986,0.707,0.583,0.282,0.737
51,GaussianNB,over_sampler,SMOTENC,599,2217,1505,40,752,0.658,0.596,0.982,0.742,0.658,0.415,0.765
52,GaussianNB,over_sampler,SVMSMOTE,883,2221,1686,36,571,0.619,0.568,0.984,0.721,0.619,0.347,0.748
53,GaussianNB,under_sampler,ClusterCentroids,1118,2222,1729,35,528,0.609,0.562,0.984,0.716,0.609,0.331,0.744
54,GaussianNB,under_sampler,RandomUnderSampler,926,2223,1653,34,604,0.626,0.574,0.985,0.725,0.626,0.362,0.752
55,GaussianNB,under_sampler,NearMiss,862,2222,1658,35,599,0.625,0.573,0.984,0.724,0.625,0.36,0.751
56,GaussianNB,under_sampler,TomekLinks,911,2223,1684,34,573,0.619,0.569,0.985,0.721,0.619,0.35,0.749
57,GaussianNB,under_sampler,EditedNearestNeighbours,871,2222,1685,35,572,0.619,0.569,0.984,0.721,0.619,0.349,0.748
58,GaussianNB,under_sampler,RepeatedEditedNearestNeighbours,828,2222,1739,35,518,0.607,0.561,0.984,0.715,0.607,0.326,0.743
59,GaussianNB,under_sampler,AllKNN,831,2222,1752,35,505,0.604,0.559,0.984,0.713,0.604,0.321,0.742
60,GaussianNB,under_sampler,CondensedNearestNeighbour,898,2224,1713,33,544,0.613,0.565,0.985,0.718,0.613,0.339,0.746
61,GaussianNB,under_sampler,OneSidedSelection,946,2222,1738,35,519,0.607,0.561,0.984,0.715,0.607,0.327,0.743
62,GaussianNB,under_sampler,NeighbourhoodCleaningRule,869,2224,1709,33,548,0.614,0.565,0.985,0.719,0.614,0.341,0.746
63,GaussianNB,under_sampler,InstanceHardnessThreshold,908,2223,1712,34,545,0.613,0.565,0.985,0.718,0.613,0.339,0.746
64,GaussianNB,combine_sampler,SMOTEENN,916,2223,1726,34,531,0.61,0.563,0.985,0.716,0.61,0.333,0.745
65,GaussianNB,combine_sampler,SMOTETomek,880,2225,1706,32,551,0.615,0.566,0.986,0.719,0.615,0.343,0.747
66,KNeighborsClassifier,None,None,None,2100,332,157,836,0.857,0.863,0.93,0.896,0.823,0.675,0.896
67,KNeighborsClassifier,over_sampler,SMOTEN,14423,2008,316,249,1941,0.875,0.864,0.89,0.877,0.875,0.75,0.877
68,KNeighborsClassifier,over_sampler,KMeansSMOTE,2,2100,332,157,836,0.857,0.863,0.93,0.896,0.823,0.675,0.896
69,KNeighborsClassifier,over_sampler,RandomOverSampler,4,1897,300,360,1957,0.854,0.863,0.84,0.852,0.854,0.708,0.852
70,KNeighborsClassifier,over_sampler,SMOTE,48,1948,302,309,1955,0.865,0.866,0.863,0.864,0.865,0.729,0.864
71,KNeighborsClassifier,over_sampler,BorderlineSMOTE,196,1842,221,415,2036,0.859,0.893,0.816,0.853,0.859,0.721,0.854
72,KNeighborsClassifier,over_sampler,ADASYN,246,1788,295,469,1920,0.829,0.858,0.792,0.824,0.83,0.661,0.825
73,KNeighborsClassifier,over_sampler,SMOTENC,397,1997,309,260,1948,0.874,0.866,0.885,0.875,0.874,0.748,0.875
74,KNeighborsClassifier,over_sampler,SVMSMOTE,1013,1885,266,372,1991,0.859,0.876,0.835,0.855,0.859,0.718,0.856
75,KNeighborsClassifier,under_sampler,ClusterCentroids,975,1914,264,343,1993,0.866,0.879,0.848,0.863,0.866,0.732,0.863
76,KNeighborsClassifier,under_sampler,RandomUnderSampler,945,1895,244,362,2013,0.866,0.886,0.84,0.862,0.866,0.733,0.862
77,KNeighborsClassifier,under_sampler,NearMiss,1927,1877,245,380,2012,0.862,0.885,0.832,0.857,0.862,0.724,0.858
78,KNeighborsClassifier,under_sampler,TomekLinks,1316,1923,268,334,1989,0.867,0.878,0.852,0.865,0.867,0.734,0.865
79,KNeighborsClassifier,under_sampler,EditedNearestNeighbours,1332,1911,287,346,1970,0.86,0.869,0.847,0.858,0.86,0.72,0.858
80,KNeighborsClassifier,under_sampler,RepeatedEditedNearestNeighbours,1002,1928,264,329,1993,0.869,0.88,0.854,0.867,0.869,0.738,0.867
81,KNeighborsClassifier,under_sampler,AllKNN,843,1895,263,362,1994,0.862,0.878,0.84,0.858,0.862,0.724,0.859
82,KNeighborsClassifier,under_sampler,CondensedNearestNeighbour,898,1945,280,312,1977,0.869,0.874,0.862,0.868,0.869,0.738,0.868
83,KNeighborsClassifier,under_sampler,OneSidedSelection,968,1890,249,367,2008,0.864,0.884,0.837,0.86,0.864,0.728,0.86
84,KNeighborsClassifier,under_sampler,NeighbourhoodCleaningRule,977,1882,270,375,1987,0.857,0.875,0.834,0.854,0.857,0.715,0.854
85,KNeighborsClassifier,under_sampler,InstanceHardnessThreshold,927,1874,233,383,2024,0.864,0.889,0.83,0.859,0.864,0.729,0.859
86,KNeighborsClassifier,combine_sampler,SMOTEENN,1398,1872,260,385,1997,0.857,0.878,0.829,0.853,0.857,0.715,0.853
87,KNeighborsClassifier,combine_sampler,SMOTETomek,901,1886,250,371,2007,0.862,0.883,0.836,0.859,0.862,0.726,0.859
88,DecisionTreeClassifier,None,None,None,2189,58,68,1110,0.963,0.974,0.97,0.972,0.96,0.918,0.972
89,DecisionTreeClassifier,over_sampler,SMOTEN,9155,2186,72,71,2185,0.968,0.968,0.969,0.968,0.968,0.937,0.968
90,DecisionTreeClassifier,over_sampler,KMeansSMOTE,2,2192,58,65,1110,0.964,0.974,0.971,0.973,0.961,0.92,0.973
91,DecisionTreeClassifier,over_sampler,RandomOverSampler,3,2185,23,72,2234,0.979,0.99,0.968,0.979,0.979,0.958,0.979
92,DecisionTreeClassifier,over_sampler,SMOTE,35,2198,55,59,2202,0.975,0.976,0.974,0.975,0.975,0.949,0.975
