,model,unbalance_category,unbalance_method,balance_data_time,TP,FP,FN,TN,ACC,PRE,RECALL,F1,AUC,MCC,G_measure
0,SVC,None,None,None,790,28,0,0,0.966,0.966,1.0,0.983,0.5,0.0,0.983
1,SVC,over_sampler,SMOTEN,1826,624,4,166,786,0.892,0.994,0.79,0.88,0.892,0.802,0.886
2,SVC,over_sampler,KMeansSMOTE,0,790,28,0,0,0.966,0.966,1.0,0.983,0.5,0.0,0.983
3,SVC,over_sampler,RandomOverSampler,1,568,0,222,790,0.859,1.0,0.719,0.837,0.859,0.749,0.848
4,SVC,over_sampler,SMOTE,1,585,6,205,784,0.866,0.99,0.741,0.847,0.866,0.757,0.856
5,SVC,over_sampler,BorderlineSMOTE,4,619,3,171,787,0.89,0.995,0.784,0.877,0.89,0.798,0.883
6,SVC,over_sampler,ADASYN,3,565,46,225,745,0.829,0.925,0.715,0.807,0.829,0.675,0.813
7,SVC,over_sampler,SMOTENC,51,597,7,193,783,0.873,0.988,0.756,0.857,0.873,0.768,0.864
8,SVC,over_sampler,SVMSMOTE,14,640,10,150,780,0.899,0.985,0.81,0.889,0.899,0.81,0.893
9,SVC,under_sampler,ClusterCentroids,14,637,8,153,782,0.898,0.988,0.806,0.888,0.898,0.81,0.892
10,SVC,under_sampler,RandomUnderSampler,14,636,8,154,782,0.897,0.988,0.805,0.887,0.897,0.809,0.892
11,SVC,under_sampler,NearMiss,13,637,5,153,785,0.9,0.992,0.806,0.89,0.9,0.814,0.894
12,SVC,under_sampler,TomekLinks,14,635,10,155,780,0.896,0.984,0.804,0.885,0.896,0.805,0.89
13,SVC,under_sampler,EditedNearestNeighbours,14,655,9,135,781,0.909,0.986,0.829,0.901,0.909,0.828,0.904
14,SVC,under_sampler,RepeatedEditedNearestNeighbours,14,647,14,143,776,0.901,0.979,0.819,0.892,0.901,0.812,0.895
15,SVC,under_sampler,AllKNN,14,642,13,148,777,0.898,0.98,0.813,0.889,0.898,0.808,0.892
16,SVC,under_sampler,CondensedNearestNeighbour,14,635,7,155,783,0.897,0.989,0.804,0.887,0.897,0.809,0.892
17,SVC,under_sampler,OneSidedSelection,13,649,15,141,775,0.901,0.977,0.822,0.893,0.901,0.813,0.896
18,SVC,under_sampler,NeighbourhoodCleaningRule,14,649,8,141,782,0.906,0.988,0.822,0.897,0.906,0.823,0.901
19,SVC,under_sampler,InstanceHardnessThreshold,14,640,8,150,782,0.9,0.988,0.81,0.89,0.9,0.813,0.894
20,SVC,combine_sampler,SMOTEENN,13,640,7,150,783,0.901,0.989,0.81,0.891,0.901,0.815,0.895
21,SVC,combine_sampler,SMOTETomek,12,643,7,147,783,0.903,0.989,0.814,0.893,0.903,0.818,0.897
22,RandomForestClassifier,None,None,None,786,6,4,22,0.988,0.992,0.995,0.994,0.89,0.809,0.994
23,RandomForestClassifier,over_sampler,SMOTEN,1821,787,11,3,779,0.991,0.986,0.996,0.991,0.991,0.982,0.991
24,RandomForestClassifier,over_sampler,KMeansSMOTE,0,787,5,3,23,0.99,0.994,0.996,0.995,0.909,0.847,0.995
25,RandomForestClassifier,over_sampler,RandomOverSampler,1,787,0,3,790,0.998,1.0,0.996,0.998,0.998,0.996,0.998
26,RandomForestClassifier,over_sampler,SMOTE,1,787,4,3,786,0.996,0.995,0.996,0.996,0.996,0.991,0.996
27,RandomForestClassifier,over_sampler,BorderlineSMOTE,4,787,6,3,784,0.994,0.992,0.996,0.994,0.994,0.989,0.994
28,RandomForestClassifier,over_sampler,ADASYN,3,787,8,3,783,0.993,0.99,0.996,0.993,0.993,0.986,0.993
29,RandomForestClassifier,over_sampler,SMOTENC,60,787,4,3,786,0.996,0.995,0.996,0.996,0.996,0.991,0.996
30,RandomForestClassifier,over_sampler,SVMSMOTE,12,787,4,3,786,0.996,0.995,0.996,0.996,0.996,0.991,0.996
31,RandomForestClassifier,under_sampler,ClusterCentroids,13,787,6,3,784,0.994,0.992,0.996,0.994,0.994,0.989,0.994
32,RandomForestClassifier,under_sampler,RandomUnderSampler,13,786,5,4,785,0.994,0.994,0.995,0.994,0.994,0.989,0.994
