,model,unbalance_category,unbalance_method,balance_data_time,TP,FP,FN,TN,ACC,PRE,RECALL,F1,AUC,MCC,G_measure
0,SVC,None,None,None,2046,343,0,0,0.856,0.856,1.0,0.923,0.5,0.0,0.925
1,SVC,over_sampler,SMOTEN,4057,797,273,1249,1773,0.628,0.745,0.39,0.512,0.628,0.291,0.539
2,SVC,over_sampler,KMeansSMOTE,1,2046,343,0,0,0.856,0.856,1.0,0.923,0.5,0.0,0.925
3,SVC,over_sampler,RandomOverSampler,4,766,358,1280,1688,0.6,0.681,0.374,0.483,0.6,0.223,0.505
4,SVC,over_sampler,SMOTE,10,1284,878,762,1168,0.599,0.594,0.628,0.61,0.599,0.199,0.61
5,SVC,over_sampler,BorderlineSMOTE,32,648,284,1398,1762,0.589,0.695,0.317,0.435,0.589,0.212,0.469
6,SVC,over_sampler,ADASYN,30,666,362,1380,1662,0.572,0.648,0.326,0.433,0.573,0.169,0.459
7,SVC,over_sampler,SMOTENC,153,789,334,1257,1712,0.611,0.703,0.386,0.498,0.611,0.249,0.521
8,SVC,over_sampler,SVMSMOTE,214,1113,724,933,1322,0.595,0.606,0.544,0.573,0.595,0.191,0.574
9,SVC,under_sampler,ClusterCentroids,222,1507,1064,539,982,0.608,0.586,0.737,0.653,0.608,0.224,0.657
10,SVC,under_sampler,RandomUnderSampler,220,1554,858,492,1188,0.67,0.644,0.76,0.697,0.67,0.346,0.7
11,SVC,under_sampler,NearMiss,380,1178,757,868,1289,0.603,0.609,0.576,0.592,0.603,0.206,0.592
12,SVC,under_sampler,TomekLinks,214,1479,963,567,1083,0.626,0.606,0.723,0.659,0.626,0.257,0.662
13,SVC,under_sampler,EditedNearestNeighbours,219,1545,1023,501,1023,0.628,0.602,0.755,0.67,0.628,0.264,0.674
14,SVC,under_sampler,RepeatedEditedNearestNeighbours,222,1283,845,763,1201,0.607,0.603,0.627,0.615,0.607,0.214,0.615
15,SVC,under_sampler,AllKNN,212,811,332,1235,1714,0.617,0.71,0.396,0.509,0.617,0.261,0.53
16,SVC,under_sampler,CondensedNearestNeighbour,217,1463,987,583,1059,0.616,0.597,0.715,0.651,0.616,0.237,0.653
17,SVC,under_sampler,OneSidedSelection,228,1552,944,494,1102,0.649,0.622,0.759,0.683,0.649,0.305,0.687
18,SVC,under_sampler,NeighbourhoodCleaningRule,267,1552,941,494,1105,0.649,0.623,0.759,0.684,0.649,0.306,0.687
19,SVC,under_sampler,InstanceHardnessThreshold,232,1549,913,497,1133,0.655,0.629,0.757,0.687,0.655,0.317,0.69
20,SVC,combine_sampler,SMOTEENN,221,1549,1033,497,1013,0.626,0.6,0.757,0.669,0.626,0.261,0.674
21,SVC,combine_sampler,SMOTETomek,222,1184,753,862,1293,0.605,0.611,0.579,0.595,0.605,0.211,0.595
22,RandomForestClassifier,None,None,None,2028,42,18,301,0.975,0.98,0.991,0.985,0.934,0.896,0.985
23,RandomForestClassifier,over_sampler,SMOTEN,4120,2017,51,29,1995,0.98,0.975,0.986,0.981,0.98,0.961,0.981
24,RandomForestClassifier,over_sampler,KMeansSMOTE,1,2029,42,17,301,0.975,0.98,0.992,0.986,0.935,0.897,0.986
25,RandomForestClassifier,over_sampler,RandomOverSampler,3,2008,0,38,2046,0.991,1.0,0.981,0.991,0.991,0.982,0.991
26,RandomForestClassifier,over_sampler,SMOTE,8,2017,33,29,2013,0.985,0.984,0.986,0.985,0.985,0.97,0.985
27,RandomForestClassifier,over_sampler,BorderlineSMOTE,38,2019,30,27,2016,0.986,0.985,0.987,0.986,0.986,0.972,0.986
28,RandomForestClassifier,over_sampler,ADASYN,28,2019,26,27,1998,0.987,0.987,0.987,0.987,0.987,0.974,0.987
29,RandomForestClassifier,over_sampler,SMOTENC,156,2020,28,26,2018,0.987,0.986,0.987,0.987,0.987,0.974,0.987
30,RandomForestClassifier,over_sampler,SVMSMOTE,237,2017,33,29,2013,0.985,0.984,0.986,0.985,0.985,0.97,0.985
31,RandomForestClassifier,under_sampler,ClusterCentroids,215,2023,36,23,2010,0.986,0.983,0.989,0.986,0.986,0.971,0.986
32,RandomForestClassifier,under_sampler,RandomUnderSampler,230,2025,38,21,2008,0.986,0.982,0.99,0.986,0.986,0.971,0.986
33,RandomForestClassifier,under_sampler,NearMiss,220,2018,34,28,2012,0.985,0.983,0.986,0.985,0.985,0.97,0.985
34,RandomForestClassifier,under_sampler,TomekLinks,226,2021,34,25,2012,0.986,0.983,0.988,0.986,0.986,0.971,0.986
35,RandomForestClassifier,under_sampler,EditedNearestNeighbours,225,2026,41,20,2005,0.985,0.98,0.99,0.985,0.985,0.97,0.985
36,RandomForestClassifier,under_sampler,RepeatedEditedNearestNeighbours,227,2022,27,24,2019,0.988,0.987,0.988,0.988,0.988,0.975,0.988
37,RandomForestClassifier,under_sampler,AllKNN,229,2023,30,23,2016,0.987,0.985,0.989,0.987,0.987,0.974,0.987
38,RandomForestClassifier,under_sampler,CondensedNearestNeighbour,218,2018,35,28,2011,0.985,0.983,0.986,0.985,0.985,0.969,0.985
39,RandomForestClassifier,under_sampler,OneSidedSelection,224,2018,32,28,2014,0.985,0.984,0.986,0.985,0.985,0.971,0.985
40,RandomForestClassifier,under_sampler,NeighbourhoodCleaningRule,225,2019,37,27,2009,0.984,0.982,0.987,0.984,0.984,0.969,0.984
41,RandomForestClassifier,under_sampler,InstanceHardnessThreshold,222,2021,36,25,2010,0.985,0.982,0.988,0.985,0.985,0.97,0.985
42,RandomForestClassifier,combine_sampler,SMOTEENN,227,2021,28,25,2018,0.987,0.986,0.988,0.987,0.987,0.974,0.987
43,RandomForestClassifier,combine_sampler,SMOTETomek,222,2023,32,23,2014,0.987,0.984,0.989,0.987,0.987,0.973,0.987
44,GaussianNB,None,None,None,2028,210,18,133,0.905,0.906,0.991,0.947,0.689,0.546,0.948
45,GaussianNB,over_sampler,SMOTEN,3938,2018,541,28,1505,0.861,0.789,0.986,0.876,0.861,0.746,0.882
46,GaussianNB,over_sampler,KMeansSMOTE,1,2028,210,18,133,0.905,0.906,0.991,0.947,0.689,0.546,0.948
47,GaussianNB,over_sampler,RandomOverSampler,2,2024,1003,22,1043,0.75,0.669,0.989,0.798,0.75,0.569,0.813
48,GaussianNB,over_sampler,SMOTE,7,2016,672,30,1374,0.828,0.75,0.985,0.852,0.828,0.692,0.86
49,GaussianNB,over_sampler,BorderlineSMOTE,28,2030,750,16,1296,0.813,0.73,0.992,0.841,0.813,0.67,0.851
50,GaussianNB,over_sampler,ADASYN,29,2028,968,18,1056,0.758,0.677,0.991,0.804,0.756,0.582,0.819
51,GaussianNB,over_sampler,SMOTENC,158,2015,584,31,1462,0.85,0.775,0.985,0.868,0.85,0.726,0.874
52,GaussianNB,over_sampler,SVMSMOTE,230,2010,635,36,1411,0.836,0.76,0.982,0.857,0.836,0.703,0.864
53,GaussianNB,under_sampler,ClusterCentroids,226,2005,618,41,1428,0.839,0.764,0.98,0.859,0.839,0.707,0.865
54,GaussianNB,under_sampler,RandomUnderSampler,223,2017,778,29,1268,0.803,0.722,0.986,0.833,0.803,0.651,0.843
