,model,unbalance_category,unbalance_method,balance_data_time,TP,FP,FN,TN,ACC,PRE,RECALL,F1,AUC,MCC,G_measure
0,SVC,None,None,None,1114,326,1,0,0.773,0.774,0.999,0.872,0.5,-0.014,0.879
1,SVC,over_sampler,SMOTEN,2016,880,533,235,582,0.656,0.623,0.789,0.696,0.656,0.323,0.701
2,SVC,over_sampler,KMeansSMOTE,0,1114,326,1,0,0.773,0.774,0.999,0.872,0.5,-0.014,0.879
3,SVC,over_sampler,RandomOverSampler,1,874,604,241,511,0.621,0.591,0.784,0.674,0.621,0.256,0.681
4,SVC,over_sampler,SMOTE,5,880,617,235,498,0.618,0.588,0.789,0.674,0.618,0.251,0.681
5,SVC,over_sampler,BorderlineSMOTE,16,828,663,287,452,0.574,0.555,0.743,0.635,0.574,0.157,0.642
6,SVC,over_sampler,ADASYN,25,777,632,338,500,0.568,0.551,0.697,0.616,0.569,0.143,0.62
7,SVC,over_sampler,SMOTENC,87,884,604,231,511,0.626,0.594,0.793,0.679,0.626,0.266,0.686
8,SVC,over_sampler,SVMSMOTE,128,907,603,208,512,0.636,0.601,0.813,0.691,0.636,0.292,0.699
9,SVC,under_sampler,ClusterCentroids,125,892,579,223,536,0.64,0.606,0.8,0.69,0.64,0.296,0.696
10,SVC,under_sampler,RandomUnderSampler,125,857,591,258,524,0.619,0.592,0.769,0.669,0.619,0.25,0.674
11,SVC,under_sampler,NearMiss,126,907,576,208,539,0.648,0.612,0.813,0.698,0.648,0.314,0.705
12,SVC,under_sampler,TomekLinks,127,905,598,210,517,0.638,0.602,0.812,0.691,0.638,0.294,0.699
13,SVC,under_sampler,EditedNearestNeighbours,124,869,590,246,525,0.625,0.596,0.779,0.675,0.625,0.263,0.681
14,SVC,under_sampler,RepeatedEditedNearestNeighbours,127,887,577,228,538,0.639,0.606,0.796,0.688,0.639,0.293,0.694
15,SVC,under_sampler,AllKNN,125,885,602,230,513,0.627,0.595,0.794,0.68,0.627,0.269,0.687
16,SVC,under_sampler,CondensedNearestNeighbour,126,888,587,227,528,0.635,0.602,0.796,0.686,0.635,0.285,0.692
17,SVC,under_sampler,OneSidedSelection,126,889,615,226,500,0.623,0.591,0.797,0.679,0.623,0.262,0.686
18,SVC,under_sampler,NeighbourhoodCleaningRule,127,889,634,226,481,0.614,0.584,0.797,0.674,0.614,0.246,0.682
19,SVC,under_sampler,InstanceHardnessThreshold,127,920,579,195,536,0.653,0.614,0.825,0.704,0.653,0.326,0.712
20,SVC,combine_sampler,SMOTEENN,128,879,636,236,479,0.609,0.58,0.788,0.668,0.609,0.233,0.676
21,SVC,combine_sampler,SMOTETomek,128,882,628,233,487,0.614,0.584,0.791,0.672,0.614,0.244,0.68
22,RandomForestClassifier,None,None,None,1100,23,15,303,0.974,0.98,0.987,0.983,0.958,0.924,0.983
23,RandomForestClassifier,over_sampler,SMOTEN,1974,1100,18,15,1097,0.985,0.984,0.987,0.985,0.985,0.97,0.985
24,RandomForestClassifier,over_sampler,KMeansSMOTE,0,1103,23,12,303,0.976,0.98,0.989,0.984,0.959,0.93,0.984
25,RandomForestClassifier,over_sampler,RandomOverSampler,1,1095,1,20,1114,0.991,0.999,0.982,0.991,0.991,0.981,0.991
26,RandomForestClassifier,over_sampler,SMOTE,5,1098,21,17,1094,0.983,0.981,0.985,0.983,0.983,0.966,0.983
27,RandomForestClassifier,over_sampler,BorderlineSMOTE,18,1096,14,19,1101,0.985,0.987,0.983,0.985,0.985,0.97,0.985
28,RandomForestClassifier,over_sampler,ADASYN,18,1096,13,19,1119,0.986,0.988,0.983,0.986,0.986,0.972,0.986
29,RandomForestClassifier,over_sampler,SMOTENC,86,1097,17,18,1098,0.984,0.985,0.984,0.984,0.984,0.969,0.984
30,RandomForestClassifier,over_sampler,SVMSMOTE,128,1097,13,18,1102,0.986,0.988,0.984,0.986,0.986,0.972,0.986
31,RandomForestClassifier,under_sampler,ClusterCentroids,127,1095,14,20,1101,0.985,0.987,0.982,0.985,0.985,0.97,0.985
32,RandomForestClassifier,under_sampler,RandomUnderSampler,126,1096,18,19,1097,0.983,0.984,0.983,0.983,0.983,0.967,0.983
33,RandomForestClassifier,under_sampler,NearMiss,128,1095,12,20,1103,0.986,0.989,0.982,0.986,0.986,0.971,0.986
34,RandomForestClassifier,under_sampler,TomekLinks,136,1097,14,18,1101,0.986,0.987,0.984,0.986,0.986,0.971,0.986
35,RandomForestClassifier,under_sampler,EditedNearestNeighbours,125,1094,19,21,1096,0.982,0.983,0.981,0.982,0.982,0.964,0.982
36,RandomForestClassifier,under_sampler,RepeatedEditedNearestNeighbours,127,1095,18,20,1097,0.983,0.984,0.982,0.983,0.983,0.966,0.983
37,RandomForestClassifier,under_sampler,AllKNN,126,1095,14,20,1101,0.985,0.987,0.982,0.985,0.985,0.97,0.985
38,RandomForestClassifier,under_sampler,CondensedNearestNeighbour,127,1093,16,22,1099,0.983,0.986,0.98,0.983,0.983,0.966,0.983
39,RandomForestClassifier,under_sampler,OneSidedSelection,127,1097,15,18,1100,0.985,0.987,0.984,0.985,0.985,0.97,0.985
40,RandomForestClassifier,under_sampler,NeighbourhoodCleaningRule,126,1097,18,18,1097,0.984,0.984,0.984,0.984,0.984,0.968,0.984
41,RandomForestClassifier,under_sampler,InstanceHardnessThreshold,125,1095,15,20,1100,0.984,0.986,0.982,0.984,0.984,0.969,0.984
42,RandomForestClassifier,combine_sampler,SMOTEENN,128,1095,17,20,1098,0.983,0.985,0.982,0.983,0.983,0.967,0.983
43,RandomForestClassifier,combine_sampler,SMOTETomek,126,1094,16,21,1099,0.983,0.986,0.981,0.983,0.983,0.967,0.983
44,GaussianNB,None,None,None,1061,49,54,277,0.929,0.956,0.952,0.954,0.901,0.797,0.954
45,GaussianNB,over_sampler,SMOTEN,1991,1045,104,70,1011,0.922,0.909,0.937,0.923,0.922,0.844,0.923
46,GaussianNB,over_sampler,KMeansSMOTE,0,1061,49,54,277,0.929,0.956,0.952,0.954,0.901,0.797,0.954
47,GaussianNB,over_sampler,RandomOverSampler,1,1056,146,59,969,0.908,0.879,0.947,0.912,0.908,0.819,0.912
48,GaussianNB,over_sampler,SMOTE,6,1062,129,53,986,0.918,0.892,0.952,0.921,0.918,0.839,0.922
49,GaussianNB,over_sampler,BorderlineSMOTE,15,1051,65,64,1050,0.942,0.942,0.943,0.942,0.942,0.884,0.942
50,GaussianNB,over_sampler,ADASYN,16,1042,81,73,1051,0.931,0.928,0.935,0.931,0.931,0.863,0.931
51,GaussianNB,over_sampler,SMOTENC,84,1074,127,41,988,0.925,0.894,0.963,0.927,0.925,0.852,0.928
52,GaussianNB,over_sampler,SVMSMOTE,131,1065,125,50,990,0.922,0.895,0.955,0.924,0.922,0.845,0.925
53,GaussianNB,under_sampler,ClusterCentroids,136,1057,121,58,994,0.92,0.897,0.948,0.922,0.92,0.841,0.922
54,GaussianNB,under_sampler,RandomUnderSampler,130,1064,119,51,996,0.924,0.899,0.954,0.926,0.924,0.849,0.926
55,GaussianNB,under_sampler,NearMiss,128,1060,152,55,963,0.907,0.875,0.951,0.911,0.907,0.817,0.912
56,GaussianNB,under_sampler,TomekLinks,125,1079,145,36,970,0.919,0.882,0.968,0.923,0.919,0.842,0.924
57,GaussianNB,under_sampler,EditedNearestNeighbours,130,1054,127,61,988,0.916,0.892,0.945,0.918,0.916,0.833,0.918
58,GaussianNB,under_sampler,RepeatedEditedNearestNeighbours,127,1054,133,61,982,0.913,0.888,0.945,0.916,0.913,0.828,0.916
59,GaussianNB,under_sampler,AllKNN,130,1057,140,58,975,0.911,0.883,0.948,0.914,0.911,0.825,0.915
60,GaussianNB,under_sampler,CondensedNearestNeighbour,146,1058,146,57,969,0.909,0.879,0.949,0.912,0.909,0.821,0.913
61,GaussianNB,under_sampler,OneSidedSelection,142,1054,123,61,992,0.917,0.895,0.945,0.92,0.917,0.836,0.92
62,GaussianNB,under_sampler,NeighbourhoodCleaningRule,125,1074,137,41,978,0.92,0.887,0.963,0.923,0.92,0.843,0.924
63,GaussianNB,under_sampler,InstanceHardnessThreshold,133,1064,141,51,974,0.914,0.883,0.954,0.917,0.914,0.831,0.918
64,GaussianNB,combine_sampler,SMOTEENN,126,1058,124,57,991,0.919,0.895,0.949,0.921,0.919,0.839,0.922
65,GaussianNB,combine_sampler,SMOTETomek,134,1079,144,36,971,0.919,0.882,0.968,0.923,0.919,0.843,0.924
66,KNeighborsClassifier,None,None,None,1032,167,83,159,0.827,0.861,0.926,0.892,0.707,0.463,0.893
67,KNeighborsClassifier,over_sampler,SMOTEN,1974,985,150,130,965,0.874,0.868,0.883,0.876,0.874,0.749,0.876
68,KNeighborsClassifier,over_sampler,KMeansSMOTE,0,1032,167,83,159,0.827,0.861,0.926,0.892,0.707,0.463,0.893
69,KNeighborsClassifier,over_sampler,RandomOverSampler,2,874,112,241,1003,0.842,0.886,0.784,0.832,0.842,0.688,0.834
70,KNeighborsClassifier,over_sampler,SMOTE,4,915,149,200,966,0.843,0.86,0.821,0.84,0.843,0.688,0.84
71,KNeighborsClassifier,over_sampler,BorderlineSMOTE,16,897,122,218,993,0.848,0.88,0.804,0.841,0.848,0.698,0.842
72,KNeighborsClassifier,over_sampler,ADASYN,17,885,202,230,930,0.808,0.814,0.794,0.804,0.808,0.616,0.804
73,KNeighborsClassifier,over_sampler,SMOTENC,85,933,160,182,955,0.847,0.854,0.837,0.845,0.847,0.693,0.845
74,KNeighborsClassifier,over_sampler,SVMSMOTE,130,937,152,178,963,0.852,0.86,0.84,0.85,0.852,0.704,0.85
75,KNeighborsClassifier,under_sampler,ClusterCentroids,128,934,160,181,955,0.847,0.854,0.838,0.846,0.847,0.694,0.846
76,KNeighborsClassifier,under_sampler,RandomUnderSampler,127,916,143,199,972,0.847,0.865,0.822,0.843,0.847,0.694,0.843
77,KNeighborsClassifier,under_sampler,NearMiss,127,941,163,174,952,0.849,0.852,0.844,0.848,0.849,0.698,0.848
78,KNeighborsClassifier,under_sampler,TomekLinks,127,938,137,177,978,0.859,0.873,0.841,0.857,0.859,0.719,0.857
79,KNeighborsClassifier,under_sampler,EditedNearestNeighbours,127,923,142,192,973,0.85,0.867,0.828,0.847,0.85,0.701,0.847
80,KNeighborsClassifier,under_sampler,RepeatedEditedNearestNeighbours,129,928,156,187,959,0.846,0.856,0.832,0.844,0.846,0.693,0.844
81,KNeighborsClassifier,under_sampler,AllKNN,126,938,151,177,964,0.853,0.861,0.841,0.851,0.853,0.706,0.851
82,KNeighborsClassifier,under_sampler,CondensedNearestNeighbour,127,923,136,192,979,0.853,0.872,0.828,0.849,0.853,0.707,0.849
83,KNeighborsClassifier,under_sampler,OneSidedSelection,128,944,151,171,964,0.856,0.862,0.847,0.854,0.856,0.711,0.854
84,KNeighborsClassifier,under_sampler,NeighbourhoodCleaningRule,127,959,162,156,953,0.857,0.855,0.86,0.858,0.857,0.715,0.858
85,KNeighborsClassifier,under_sampler,InstanceHardnessThreshold,124,932,151,183,964,0.85,0.861,0.836,0.848,0.85,0.701,0.848
86,KNeighborsClassifier,combine_sampler,SMOTEENN,128,923,141,192,974,0.851,0.867,0.828,0.847,0.851,0.702,0.847
87,KNeighborsClassifier,combine_sampler,SMOTETomek,126,922,146,193,969,0.848,0.863,0.827,0.845,0.848,0.697,0.845
88,DecisionTreeClassifier,None,None,None,1093,19,22,307,0.972,0.983,0.98,0.982,0.961,0.919,0.982
89,DecisionTreeClassifier,over_sampler,SMOTEN,1980,1083,22,32,1093,0.976,0.98,0.971,0.976,0.976,0.952,0.976
90,DecisionTreeClassifier,over_sampler,KMeansSMOTE,0,1092,16,23,310,0.973,0.986,0.979,0.982,0.965,0.923,0.982
91,DecisionTreeClassifier,over_sampler,RandomOverSampler,1,1089,1,26,1114,0.988,0.999,0.977,0.988,0.988,0.976,0.988
92,DecisionTreeClassifier,over_sampler,SMOTE,4,1083,32,32,1083,0.971,0.971,0.971,0.971,0.971,0.943,0.971
93,DecisionTreeClassifier,over_sampler,BorderlineSMOTE,16,1084,26,31,1089,0.974,0.977,0.972,0.974,0.974,0.949,0.974
94,DecisionTreeClassifier,over_sampler,ADASYN,16,1090,25,25,1107,0.978,0.978,0.978,0.978,0.978,0.955,0.978
95,DecisionTreeClassifier,over_sampler,SMOTENC,85,1087,22,28,1093,0.978,0.98,0.975,0.978,0.978,0.955,0.978
96,DecisionTreeClassifier,over_sampler,SVMSMOTE,127,1085,27,30,1088,0.974,0.976,0.973,0.974,0.974,0.949,0.974
97,DecisionTreeClassifier,under_sampler,ClusterCentroids,125,1087,20,28,1095,0.978,0.982,0.975,0.978,0.978,0.957,0.978
98,DecisionTreeClassifier,under_sampler,RandomUnderSampler,125,1089,22,26,1093,0.978,0.98,0.977,0.978,0.978,0.957,0.978
99,DecisionTreeClassifier,under_sampler,NearMiss,126,1093,26,22,1089,0.978,0.977,0.98,0.979,0.978,0.957,0.979
100,DecisionTreeClassifier,under_sampler,TomekLinks,127,1092,22,23,1093,0.98,0.98,0.979,0.98,0.98,0.96,0.98
101,DecisionTreeClassifier,under_sampler,EditedNearestNeighbours,129,1091,27,24,1088,0.977,0.976,0.978,0.977,0.977,0.954,0.977
102,DecisionTreeClassifier,under_sampler,RepeatedEditedNearestNeighbours,124,1088,24,27,1091,0.977,0.978,0.976,0.977,0.977,0.954,0.977
103,DecisionTreeClassifier,under_sampler,AllKNN,125,1090,20,25,1095,0.98,0.982,0.978,0.98,0.98,0.96,0.98
104,DecisionTreeClassifier,under_sampler,CondensedNearestNeighbour,126,1089,25,26,1090,0.977,0.978,0.977,0.977,0.977,0.954,0.977
105,DecisionTreeClassifier,under_sampler,OneSidedSelection,125,1087,24,28,1091,0.977,0.978,0.975,0.977,0.977,0.953,0.977
106,DecisionTreeClassifier,under_sampler,NeighbourhoodCleaningRule,128,1091,24,24,1091,0.978,0.978,0.978,0.978,0.978,0.957,0.978
107,DecisionTreeClassifier,under_sampler,InstanceHardnessThreshold,125,1084,39,31,1076,0.969,0.965,0.972,0.969,0.969,0.937,0.969
108,DecisionTreeClassifier,combine_sampler,SMOTEENN,127,1084,22,31,1093,0.976,0.98,0.972,0.976,0.976,0.952,0.976
109,DecisionTreeClassifier,combine_sampler,SMOTETomek,134,1086,27,29,1088,0.975,0.976,0.974,0.975,0.975,0.95,0.975
110,LogisticRegression,None,None,None,1103,64,12,262,0.947,0.945,0.989,0.967,0.896,0.845,0.967
